"","loc.epochs.c","loc.epochs.r","loc.epochs.s","gl.epochs.c","gl.epochs.r","gl.epochs.s","ordered.loc.epochs.c","ordered.loc.epochs.r","ordered.loc.epochs.s"
"234",143,1597,147,0,1876,0,814,689,157
"235",146,1637,140,0,1831,0,867,690,159
"236",150,1634,128,0,1862,0,807,682,159
"237",146,1635,143,0,1873,0,829,670,160
"238",152,1625,146,0,1827,0,809,684,156
"239",150,1628,146,0,1807,0,808,688,154
"240",159,1573,141,0,1833,0,827,662,168
"241",155,1599,151,0,1832,0,815,663,161
"242",144,1596,145,0,1825,0,803,676,163
"243",157,1589,141,0,1867,0,786,680,160
"244",156,1603,147,0,1860,0,800,693,167
"245",151,1629,152,0,1834,0,809,676,151
"246",135,1656,151,0,1868,0,816,708,149
"247",143,1650,159,0,1872,0,820,708,161
"248",144,1610,159,0,1870,0,821,704,159
"249",141,1590,147,0,1844,0,808,705,154
"250",139,1643,155,0,1876,0,804,699,151
"251",142,1644,143,0,1889,0,819,688,160
"252",140,1646,131,0,1869,0,828,700,156
"253",149,1660,131,0,1851,0,844,703,161
"254",148,1649,132,0,1805,0,814,713,159
"255",141,1623,141,0,1896,0,812,690,157
"256",142,1636,157,0,1888,0,840,684,152
"257",143,1622,154,0,1875,0,836,670,153
"258",150,1595,151,0,1905,0,868,692,157
"259",153,1593,160,0,1891,0,847,672,155
"260",154,1584,152,0,1877,0,888,675,144
"261",137,1625,146,0,1832,0,867,685,138
"262",135,1631,147,0,1858,0,858,682,154
"263",132,1617,149,0,1863,0,864,704,162
"264",137,1624,144,0,1856,0,843,692,170
"265",140,1625,144,0,1848,0,866,676,162
"266",147,1623,130,0,1830,0,877,675,160
"267",145,1616,133,0,1851,0,886,691,150
"268",146,1597,131,0,1864,0,851,694,151
"269",136,1643,139,0,1890,0,871,664,146
"270",131,1634,133,0,1877,0,896,680,148
"271",135,1634,130,0,1872,0,851,667,153
"272",131,1652,132,0,1856,0,831,659,155
"273",138,1665,126,0,1808,0,849,686,152
"274",149,1657,122,0,1824,0,875,688,145
"275",151,1659,120,0,1815,0,813,672,145
"276",139,1657,129,0,1890,0,811,668,147
"277",140,1654,128,0,1845,0,833,658,150
"278",143,1659,146,0,1849,0,841,642,146
"279",143,1611,145,0,1895,0,838,654,157
"280",133,1634,157,0,1872,0,823,657,157
"281",140,1616,148,0,1883,0,811,675,161
"282",142,1604,145,0,1867,0,818,668,166
"283",143,1666,143,0,1887,0,833,675,156
"284",137,1663,135,0,1879,0,842,662,153
"285",146,1682,133,0,1884,0,836,661,147
"286",137,1683,136,0,1857,0,855,664,150
"287",132,1697,133,0,1864,0,864,664,146
"288",137,1663,133,0,1863,0,848,660,150
"289",131,1672,128,0,1867,0,843,659,147
"290",134,1667,130,0,1816,0,856,646,158
"291",141,1630,133,0,1855,0,852,652,153
"292",134,1626,138,0,1892,0,844,655,153
"293",136,1587,125,0,1868,0,844,670,149
"294",135,1608,127,0,1871,0,859,664,161
"295",138,1633,128,0,1891,0,873,656,148
"296",145,1671,136,0,1925,0,865,641,146
"297",138,1638,139,0,1897,0,838,625,155
"298",138,1646,143,0,1892,0,858,629,153
"299",145,1622,147,0,1858,0,846,654,155
"300",137,1661,135,0,1866,0,828,674,151
"301",131,1643,135,0,1821,0,867,636,152
"302",138,1634,138,0,1852,0,879,650,153
"303",151,1671,127,0,1866,0,869,658,153
"304",147,1647,132,0,1866,0,886,652,152
"305",148,1653,133,0,1918,0,885,659,150
"306",148,1626,126,0,1914,0,886,683,152
"307",156,1616,121,0,1883,0,877,672,145
"308",157,1629,122,0,1889,0,886,672,149
"309",155,1632,116,0,1862,0,889,663,147
"310",157,1640,119,0,1875,0,855,667,153
"311",160,1619,131,0,1846,0,848,655,153
"312",176,1613,135,0,1850,0,841,649,165
"313",161,1621,142,0,1876,0,839,649,174
"314",161,1626,122,0,1878,0,882,613,171
"315",156,1634,120,0,1873,0,897,636,160
"316",146,1691,121,0,1875,0,918,656,149
"317",152,1636,122,0,1886,0,908,661,141
"318",158,1620,119,0,1900,0,866,637,141
