"","ordered.gl.epochs.c","ordered.gl.epochs.r","ordered.gl.epochs.s"
"486",0,0,1729
"487",0,0,1713
"488",0,0,1689
"489",0,0,1705
"490",0,0,1738
"491",0,0,1691
"492",0,0,1711
"493",0,0,1709
"494",0,0,1759
"495",0,0,1744
"496",0,0,1704
"497",0,0,1715
"498",0,0,1724
"499",0,0,1737
"500",0,0,1717
"501",0,0,1691
"502",0,0,1753
"503",0,0,1737
"504",0,0,1783
"505",0,0,1775
"506",0,0,1733
"507",0,0,1709
"508",0,0,1676
"509",0,0,1699
"510",0,0,1686
"511",0,0,1711
"512",0,0,1699
"513",0,0,1702
"514",0,0,1745
"515",0,0,1760
"516",0,0,1728
"517",0,0,1711
"518",0,0,1684
"519",0,0,1706
"520",0,0,1682
"521",0,0,1662
"522",0,0,1680
"523",0,0,1670
"524",0,0,1710
"525",0,0,1770
"526",0,0,1733
"527",0,0,1715
"528",0,0,1762
"529",0,0,1705
"530",0,0,1707
"531",0,0,1688
"532",0,0,1674
"533",0,0,1688
"534",0,0,1683
"535",0,0,1664
"536",0,0,1709
"537",0,0,1694
"538",0,0,1756
"539",0,0,1699
"540",0,0,1725
"541",0,0,1717
"542",0,0,1711
"543",0,0,1697
"544",0,0,1714
"545",0,0,1738
"546",0,0,1721
"547",0,0,1682
"548",0,0,1687
"549",0,0,1682
"550",0,0,1696
"551",0,0,1720
"552",0,0,1677
"553",0,0,1678
"554",0,0,1672
"555",0,0,1704
"556",0,0,1724
"557",0,0,1698
"558",0,0,1685
"559",0,0,1692
"560",0,0,1681
"561",0,0,1719
"562",0,0,1681
"563",0,0,1740
"564",0,0,1755
"565",0,0,1728
"566",0,0,1711
"567",0,0,1680
"568",0,0,1685
"569",0,0,1699
"570",0,0,1699
"571",0,0,1698
"572",0,0,1680
"573",0,0,1712
"574",0,0,1680
"575",0,0,1690
"576",0,0,1700
"577",0,0,1744
"578",0,0,1737
"579",0,0,1673
"580",0,0,1705
"581",0,0,1761
"582",0,0,1792
"583",0,0,1717
"584",0,0,1721
"585",0,0,1775
"586",0,0,1726
"587",0,0,1731
"588",0,0,1705
"589",0,0,1711
"590",0,0,1733
"591",0,0,1721
"592",0,0,1694
"593",0,0,1714
"594",0,0,1686
"595",0,0,1689
"596",0,0,1721
"597",0,0,1729
"598",0,0,1700
"599",0,0,1730
"600",0,0,1711
"601",0,0,1702
"602",0,0,1708
"603",0,0,1710
"604",0,0,1734
"605",0,0,1723
